event.id,heading,height.above.ellipsoid,migration.stage,optional,sensor,timestamps,trackId,individual.local.identifier,visible,individual.id,deployment.id,tag.id,study.id,sensor.type.id,tag.local.identifier,individual.taxon.canonical.name,migration.stage.standard,study.name,birth.hatch.latitude,birth.hatch.longitude,comments,death.comments,earliest.date.born,exact.date.of.birth,group.id,latest.date.born,marker.id,mates,mortality.date,mortality.latitude,mortality.longitude,mortality.type,nick.name,offspring,parents,ring.id,sex,siblings,taxon.canonical.name,timestamp.start,timestamp.end,number.of.events,number.of.deployments,sensor.type.ids,taxon.detail,animalName,geometry,location.long,location.lat
1149956764,0.88,41.0,stopover,True,GPS,2013-09-10 19:14:38,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.09345 67.114933),48.09345,67.114933
1149956765,0.94,40.0,stopover,True,GPS,2013-09-11 00:03:59,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.093267 67.115033),48.093267,67.115033
1149956766,1.46,32.0,stopover,True,GPS,2013-09-11 02:36:13,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.1035 67.1113),48.1035,67.1113
1149956767,1.0,50.0,stopover,True,GPS,2013-09-11 04:54:00,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.09835 67.11525),48.09835,67.11525
1149956768,1.0,50.0,stopover,True,GPS,2013-09-11 14:35:46,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.174467 67.127517),48.174467,67.127517
1149956769,1.63,63.0,stopover,True,GPS,2013-09-12 00:16:33,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.215183 67.12515),48.215183,67.12515
1149956770,0.95,55.0,stopover,True,GPS,2013-09-12 05:06:38,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.17075 67.12185),48.17075,67.12185
1149956771,1.7,45.0,stopover,True,GPS,2013-09-12 14:47:18,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.207233 67.12955),48.207233,67.12955
1149956772,1.83,,stopover,True,GPS,2013-09-13 15:13:04,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.112517 67.12295),48.112517,67.12295
1149956773,0.0,0.0,stopover,True,GPS,2013-09-14 00:52:45,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.136633 67.120883),48.136633,67.120883
1149956774,1.71,38.0,stopover,True,GPS,2013-09-14 03:10:20,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.1427 67.1127),48.1427,67.1127
1149956775,1.56,61.0,stopover,True,GPS,2013-09-14 11:04:19,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.082483 67.1415),48.082483,67.1415
1149956776,1.42,28.0,stopover,True,GPS,2013-09-14 13:37:41,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.093533 67.139017),48.093533,67.139017
