"event.id","location.long","location.lat","heading","height.above.ellipsoid","migration.stage","optional","sensor","timestamps","trackId","individual.local.identifier","visible","individual.id","deployment.id","tag.id","study.id","sensor.type.id","tag.local.identifier","individual.taxon.canonical.name","migration.stage.standard","study.name","birth.hatch.latitude","birth.hatch.longitude","comments","death.comments","earliest.date.born","exact.date.of.birth","group.id","latest.date.born","marker.id","mates","mortality.date","mortality.latitude","mortality.longitude","mortality.type","nick.name","offspring","parents","ring.id","sex","siblings","taxon.canonical.name","timestamp.start","timestamp.end","number.of.events","number.of.deployments","sensor.type.ids","taxon.detail","animalName"
1149956762,47.98535,67.131067,1.35,17,"stopover",TRUE,"GPS",2013-09-10 14:23:49,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956763,48.09425,67.11545,1.09,34,"stopover",TRUE,"GPS",2013-09-10 16:41:48,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956764,48.09345,67.114933,0.88,41,"stopover",TRUE,"GPS",2013-09-10 19:14:38,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956765,48.093267,67.115033,0.94,40,"stopover",TRUE,"GPS",2013-09-11 00:03:59,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956766,48.1035,67.1113,1.46,32,"stopover",TRUE,"GPS",2013-09-11 02:36:13,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956767,48.09835,67.11525,1,50,"stopover",TRUE,"GPS",2013-09-11 04:54:00,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956768,48.174467,67.127517,1,50,"stopover",TRUE,"GPS",2013-09-11 14:35:46,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956769,48.215183,67.12515,1.63,63,"stopover",TRUE,"GPS",2013-09-12 00:16:33,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956770,48.17075,67.12185,0.95,55,"stopover",TRUE,"GPS",2013-09-12 05:06:38,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956771,48.207233,67.12955,1.7,45,"stopover",TRUE,"GPS",2013-09-12 14:47:18,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
